date,closing_price,starting_price,high_price,low_price,trans_thd,trans_vol_mil,mkt_cap_mil
2009/08/11,1579.21,1572.33,1580.44,1570.51,573987,6346614,820633119
2009/08/12,1565.35,1571.74,1571.74,1552.51,510512,6693354,813453335
2009/08/13,1564.64,1578.95,1581.34,1564.64,562764,7669336,813247978
2009/08/14,1591.41,1582.21,1594.46,1579.17,606500,6834913,827235321
2009/08/17,1547.06,1588.73,1588.73,1541.74,594931,6825536,804400896
2009/08/18,1550.24,1534.22,1560.73,1530.65,598314,6510242,806791157
2009/08/19,1545.96,1555.03,1564.90,1545.93,521615,6782982,804881045
2009/08/20,1576.39,1559.99,1577.08,1544.50,454918,6225801,820406269
2009/08/21,1580.98,1582.61,1590.15,1564.45,514683,8161032,823088892
2009/08/24,1612.22,1604.31,1614.05,1602.34,541263,8857555,839793076
2009/08/25,1601.38,1603.03,1610.33,1596.00,461069,7656155,834486664
2009/08/26,1614.12,1607.70,1615.05,1602.40,451616,6422887,840583641
2009/08/27,1599.33,1608.83,1614.07,1590.98,426334,6231235,832751186
2009/08/28,1607.94,1612.93,1616.29,1599.68,455462,7461053,837518164
2009/08/31,1591.85,1607.61,1611.65,1580.28,443613,6520150,829731246
2009/09/01,1623.06,1592.29,1624.34,1583.11,444449,7107530,845971669
2009/09/02,1613.16,1598.66,1622.82,1592.48,561693,8032314,840637546
2009/09/03,1613.53,1614.53,1620.06,1605.96,493292,7119959,840272800
2009/09/04,1608.90,1623.07,1623.07,1597.20,594779,7132793,839362062
2009/09/07,1608.57,1618.79,1619.98,1601.04,411219,5819832,839426573
2009/09/08,1619.69,1616.48,1622.73,1610.91,523926,7474012,844986397
2009/09/09,1607.77,1622.25,1622.81,1602.69,518367,7543712,838676321
2009/09/10,1644.68,1615.71,1644.68,1613.76,581051,9086361,857668565
2009/09/11,1651.70,1644.31,1653.77,1639.83,514657,7613935,861574409
2009/09/14,1634.91,1653.17,1653.59,1628.96,432398,6792354,852938697
2009/09/15,1653.40,1646.29,1654.92,1640.87,550450,7568675,862535102
2009/09/16,1683.33,1660.43,1693.84,1660.43,568410,8873741,878034761
2009/09/17,1695.47,1700.19,1704.88,1682.04,527874,9147537,884328256
2009/09/18,1699.71,1695.17,1713.22,1691.64,500095,8763489,886270123
2009/09/21,1695.50,1700.56,1709.34,1691.92,517257,5523352,884010598
2009/09/22,1718.88,1701.96,1720.73,1701.57,448386,6995190,896217325
2009/09/23,1711.47,1723.03,1723.17,1705.98,503233,7678959,892532909
2009/09/24,1693.88,1706.19,1715.55,1680.96,421172,7594658,883511172
2009/09/25,1691.48,1686.41,1691.71,1662.52,391940,7551953,882271379
2009/09/28,1675.55,1678.57,1685.34,1668.97,351376,6553290,874000530
2009/09/29,1690.05,1695.94,1696.71,1680.69,343692,6766272,881689902
2009/09/30,1673.14,1688.60,1704.24,1665.90,369850,7960460,872915510
2009/10/01,1644.63,1680.46,1685.01,1629.55,337358,7024531,857703556
2009/10/05,1606.90,1622.10,1629.01,1603.71,319000,7103118,838510715
2009/10/06,1598.44,1620.31,1626.02,1590.47,390393,6227937,833958916
2009/10/07,1598.00,1619.07,1625.11,1598.00,411269,6718950,833264892
2009/10/08,1615.46,1607.86,1615.46,1591.15,377007,6693931,843929707
2009/10/09,1646.79,1622.12,1648.98,1614.61,440505,6005993,860204990
2009/10/12,1639.81,1660.19,1661.37,1631.59,413658,4841306,856712647
2009/10/13,1628.93,1634.49,1642.78,1614.46,420335,5414108,851266009
2009/10/14,1649.09,1642.10,1653.22,1637.78,412056,5113997,861950840
2009/10/15,1658.99,1661.69,1672.08,1653.33,374175,5950119,866994744
2009/10/16,1640.36,1656.07,1667.49,1638.49,372952,5838359,857098690
2009/10/19,1649.07,1633.34,1649.69,1614.85,279880,4902443,863367076
2009/10/20,1659.15,1663.95,1665.65,1649.27,402306,4837860,868604922
2009/10/21,1653.86,1649.81,1664.52,1645.56,366290,5295319,866031051
2009/10/22,1630.33,1638.01,1650.03,1623.96,386905,4931054,853850083
2009/10/23,1640.17,1643.62,1647.27,1633.11,331327,4950873,859238866
