date,closing_price,starting_price,high_price,low_price,trans_thd,trans_vol_mil,mkt_cap_mil
2010/03/08,1660.04,1653.54,1660.28,1649.67,367811,4866114,878360420
2010/03/09,1660.83,1657.94,1661.26,1653.98,634706,4558556,878668348
2010/03/10,1662.24,1662.00,1662.88,1653.69,500081,3945320,879444364
2010/03/11,1656.62,1670.82,1672.48,1656.48,529002,4806846,876471639
2010/03/12,1662.74,1666.59,1666.86,1653.03,369512,3777675,879619926
2010/03/15,1649.50,1663.86,1667.44,1643.51,343806,3425406,872861194
2010/03/16,1648.01,1654.52,1655.27,1642.86,512564,5005137,872207404
2010/03/17,1682.86,1663.30,1682.86,1659.64,606001,5772909,898281850
2010/03/18,1675.17,1679.21,1687.70,1675.10,434503,4798832,894337232
2010/03/19,1686.11,1682.52,1687.68,1677.62,441810,4287876,900179889
2010/03/22,1672.67,1678.51,1680.94,1664.88,347596,3838605,892991672
2010/03/23,1681.82,1685.07,1689.46,1677.91,414287,4773022,897943271
2010/03/24,1681.01,1693.56,1695.03,1678.07,371518,4536119,897679347
